"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 07:40:45","2","9209","1172","1082","4885","58","True","81.8",""
"2026-08-09 07:41:02","5.2","6346.5","1172","1082","4885","59","True","73.2",""
"2026-08-09 07:41:04","21.8","10114.2","1172","1082","4885","59","True","73.2",""
"2026-08-09 07:41:06","24","8911.6","1169","1082","4885","59","True","73.2",""
"2026-08-09 07:41:08","26.2","6887.2","1169","1082","4885","59","True","73.2",""
"2026-08-09 07:41:11","28.3","5901.5","1169","1082","4885","59","True","73.2",""
"2026-08-09 07:41:13","30.5","5432","1169","1082","4885","60","True","73.2",""
"2026-08-09 07:41:15","32.6","4769.4","1169","1082","4885","58","True","72.7",""
"2026-08-09 07:41:17","34.8","3785","1168","1082","4885","58","True","72.7",""
"2026-08-09 07:41:19","37","3356.1","1168","1082","4885","58","True","72.7",""
"2026-08-09 07:41:21","39.1","2713.8","1168","1082","4885","57","True","72.7",""
"2026-08-09 07:41:24","41.3","2349","1168","1082","4885","57","True","72.7",""
"2026-08-09 07:41:26","43.4","1758.3","1170","1082","4885","58","True","72.7",""
"2026-08-09 07:41:28","45.6","1174.7","1176","1082","4885","58","True","40.8",""
"2026-08-09 07:41:30","47.8","783.4","1197","1082","4885","58","True","16.9",""
"2026-08-09 07:41:32","50","493.4","1199","1082","4885","58","True","10.9",""
"2026-08-09 07:41:34","52.2","504.3","1201","1082","4885","57","True","9.3",""
"2026-08-09 07:41:37","54.4","756.2","1538","1082","4885","58","True","8.3",""
"2026-08-09 07:41:39","56.6","1054.8","2146","1082","4885","58","True","8.3",""
"2026-08-09 07:41:41","58.7","573.3","2146","1082","4885","58","True","8.3",""
"2026-08-09 07:41:43","60.9","1171.6","3094","1082","4885","58","True","8.3",""
"2026-08-09 07:41:45","63.1","689","3094","1082","4885","58","True","8.3",""
"2026-08-09 07:41:48","65.3","530.5","3094","1082","4885","58","True","8.5",""
"2026-08-09 07:41:50","67.4","524.6","3089","1082","4885","58","True","8.3",""
"2026-08-09 07:41:56","67.6","1236.3","3961","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 524.6 MB)"
