metric,layer,value
mean_experts_for_0.6,13,3.0
mean_experts_for_0.9,13,5.333333333333333
skip_frac_lt_0.2,13,0.08333333333333333
skip_frac_lt_0.3,13,0.4166666666666667
skip_frac_lt_0.4,13,0.8333333333333334
skip_frac_lt_0.5,13,0.9166666666666666
topk_loss_top4,14,0.20099748699999997
topk_loss_top3,14,0.33014395250000006
mean_experts_for_0.6,14,3.0
mean_experts_for_0.9,14,5.25
skip_frac_lt_0.2,14,0.0
skip_frac_lt_0.3,14,0.5
skip_frac_lt_0.4,14,1.0
skip_frac_lt_0.5,14,1.0
topk_loss_top4,15,0.24140628083333338
topk_loss_top3,15,0.3855039241666667
mean_experts_for_0.6,15,3.3333333333333335
mean_experts_for_0.9,15,6.0
skip_frac_lt_0.2,15,0.0
skip_frac_lt_0.3,15,0.75
skip_frac_lt_0.4,15,1.0
skip_frac_lt_0.5,15,1.0
topk_loss_top4,16,0.23792645808333335
topk_loss_top3,16,0.37800255416666667
mean_experts_for_0.6,16,3.4166666666666665
mean_experts_for_0.9,16,5.75
skip_frac_lt_0.2,16,0.08333333333333333
skip_frac_lt_0.3,16,0.8333333333333334
skip_frac_lt_0.4,16,0.9166666666666666
skip_frac_lt_0.5,16,1.0
topk_loss_top4,17,0.2233850735
topk_loss_top3,17,0.359637642
mean_experts_for_0.6,17,3.1666666666666665
mean_experts_for_0.9,17,5.75
skip_frac_lt_0.2,17,0.0
skip_frac_lt_0.3,17,0.9166666666666666
skip_frac_lt_0.4,17,0.9166666666666666
skip_frac_lt_0.5,17,0.9166666666666666
topk_loss_top4,18,0.2537240125
topk_loss_top3,18,0.40559575833333333
mean_experts_for_0.6,18,3.5
mean_experts_for_0.9,18,5.916666666666667
skip_frac_lt_0.2,18,0.16666666666666666
skip_frac_lt_0.3,18,0.8333333333333334
skip_frac_lt_0.4,18,1.0
skip_frac_lt_0.5,18,1.0
topk_loss_top4,19,0.19677213250000003
topk_loss_top3,19,0.31831535916666676
mean_experts_for_0.6,19,3.0
mean_experts_for_0.9,19,5.333333333333333
skip_frac_lt_0.2,19,0.0
skip_frac_lt_0.3,19,0.5
skip_frac_lt_0.4,19,0.9166666666666666
skip_frac_lt_0.5,19,1.0
topk_loss_top4,20,0.23113950700000005
topk_loss_top3,20,0.3612245004166667
mean_experts_for_0.6,20,3.0
mean_experts_for_0.9,20,5.833333333333333
skip_frac_lt_0.2,20,0.0
skip_frac_lt_0.3,20,0.5833333333333334
skip_frac_lt_0.4,20,0.9166666666666666
skip_frac_lt_0.5,20,0.9166666666666666
topk_loss_top4,21,0.22619019691666664
topk_loss_top3,21,0.36047852466666663
mean_experts_for_0.6,21,3.1666666666666665
mean_experts_for_0.9,21,5.583333333333333
skip_frac_lt_0.2,21,0.0
skip_frac_lt_0.3,21,0.8333333333333334
skip_frac_lt_0.4,21,0.9166666666666666
skip_frac_lt_0.5,21,0.9166666666666666
topk_loss_top4,22,0.20102333233333333
topk_loss_top3,22,0.32000115349999997
mean_experts_for_0.6,22,2.9166666666666665
mean_experts_for_0.9,22,5.166666666666667
skip_frac_lt_0.2,22,0.0
skip_frac_lt_0.3,22,0.6666666666666666
skip_frac_lt_0.4,22,0.9166666666666666
skip_frac_lt_0.5,22,0.9166666666666666
topk_loss_top4,23,0.18629073641666663
topk_loss_top3,23,0.2990432610833333
mean_experts_for_0.6,23,2.6666666666666665
mean_experts_for_0.9,23,5.25
skip_frac_lt_0.2,23,0.0
skip_frac_lt_0.3,23,0.4166666666666667
skip_frac_lt_0.4,23,0.6666666666666666
skip_frac_lt_0.5,23,0.8333333333333334
topk_loss_top4,24,0.2115561190833333
topk_loss_top3,24,0.3416255274166667
mean_experts_for_0.6,24,3.0
mean_experts_for_0.9,24,5.5
skip_frac_lt_0.2,24,0.08333333333333333
skip_frac_lt_0.3,24,0.5
skip_frac_lt_0.4,24,0.6666666666666666
skip_frac_lt_0.5,24,0.9166666666666666
topk_loss_top4,25,0.2009443158333333
topk_loss_top3,25,0.3286799333333333
mean_experts_for_0.6,25,3.0833333333333335
mean_experts_for_0.9,25,5.25
skip_frac_lt_0.2,25,0.08333333333333333
skip_frac_lt_0.3,25,0.3333333333333333
skip_frac_lt_0.4,25,0.8333333333333334
skip_frac_lt_0.5,25,1.0
topk_loss_top4,26,0.19781888174999995
topk_loss_top3,26,0.3352060975
mean_experts_for_0.6,26,3.0
mean_experts_for_0.9,26,5.25
skip_frac_lt_0.2,26,0.0
skip_frac_lt_0.3,26,0.6666666666666666
skip_frac_lt_0.4,26,0.9166666666666666
skip_frac_lt_0.5,26,1.0
topk_loss_top4,27,0.13920122799999998
topk_loss_top3,27,0.24349026225
mean_experts_for_0.6,27,2.6666666666666665
mean_experts_for_0.9,27,4.916666666666667
skip_frac_lt_0.2,27,0.0
skip_frac_lt_0.3,27,0.16666666666666666
skip_frac_lt_0.4,27,0.8333333333333334
skip_frac_lt_0.5,27,0.9166666666666666
topk_loss_top4,28,0.14415233833333332
topk_loss_top3,28,0.2531509139166666
mean_experts_for_0.6,28,2.4166666666666665
mean_experts_for_0.9,28,5.0
skip_frac_lt_0.2,28,0.0
skip_frac_lt_0.3,28,0.16666666666666666
skip_frac_lt_0.4,28,0.6666666666666666
skip_frac_lt_0.5,28,0.75
topk_loss_top4,29,0.15188697425
topk_loss_top3,29,0.24631934825000004
mean_experts_for_0.6,29,2.4166666666666665
mean_experts_for_0.9,29,4.833333333333333
skip_frac_lt_0.2,29,0.0
skip_frac_lt_0.3,29,0.08333333333333333
skip_frac_lt_0.4,29,0.5833333333333334
skip_frac_lt_0.5,29,0.9166666666666666
topk_loss_top4,30,0.1795671013333334
topk_loss_top3,30,0.32024714833333334
mean_experts_for_0.6,30,3.0
mean_experts_for_0.9,30,4.833333333333333
skip_frac_lt_0.2,30,0.0
skip_frac_lt_0.3,30,0.6666666666666666
skip_frac_lt_0.4,30,0.9166666666666666
skip_frac_lt_0.5,30,0.9166666666666666
topk_loss_top4,31,0.17861526141666664
topk_loss_top3,31,0.29150727416666666
mean_experts_for_0.6,31,2.75
mean_experts_for_0.9,31,5.166666666666667
skip_frac_lt_0.2,31,0.0
skip_frac_lt_0.3,31,0.3333333333333333
skip_frac_lt_0.4,31,1.0
skip_frac_lt_0.5,31,1.0
topk_loss_top4,32,0.12610721258333332
topk_loss_top3,32,0.21978851558333332
mean_experts_for_0.6,32,2.3333333333333335
mean_experts_for_0.9,32,4.75
skip_frac_lt_0.2,32,0.0
skip_frac_lt_0.3,32,0.08333333333333333
skip_frac_lt_0.4,32,0.6666666666666666
skip_frac_lt_0.5,32,0.9166666666666666
topk_loss_top4,33,0.12505946191666664
topk_loss_top3,33,0.21310477625
mean_experts_for_0.6,33,2.0833333333333335
mean_experts_for_0.9,33,4.75
skip_frac_lt_0.2,33,0.0
skip_frac_lt_0.3,33,0.08333333333333333
skip_frac_lt_0.4,33,0.5
skip_frac_lt_0.5,33,0.75
topk_loss_top4,34,0.17804338974999992
topk_loss_top3,34,0.28776311716666664
mean_experts_for_0.6,34,2.6666666666666665
mean_experts_for_0.9,34,4.75
skip_frac_lt_0.2,34,0.0
skip_frac_lt_0.3,34,0.25
skip_frac_lt_0.4,34,0.9166666666666666
skip_frac_lt_0.5,34,0.9166666666666666
topk_loss_top4,35,0.19724145041666663
topk_loss_top3,35,0.3179994191666667
mean_experts_for_0.6,35,3.0
mean_experts_for_0.9,35,5.25
skip_frac_lt_0.2,35,0.0
skip_frac_lt_0.3,35,0.4166666666666667
skip_frac_lt_0.4,35,1.0
skip_frac_lt_0.5,35,1.0
topk_loss_top4,36,0.21182898741666664
topk_loss_top3,36,0.33761189475000003
mean_experts_for_0.6,36,2.8333333333333335
mean_experts_for_0.9,36,5.416666666666667
skip_frac_lt_0.2,36,0.08333333333333333
skip_frac_lt_0.3,36,0.5
skip_frac_lt_0.4,36,0.8333333333333334
skip_frac_lt_0.5,36,0.9166666666666666
topk_loss_top4,37,0.23164501
topk_loss_top3,37,0.372332375
mean_experts_for_0.6,37,3.1666666666666665
mean_experts_for_0.9,37,5.666666666666667
skip_frac_lt_0.2,37,0.0
skip_frac_lt_0.3,37,0.6666666666666666
skip_frac_lt_0.4,37,1.0
skip_frac_lt_0.5,37,1.0
topk_loss_top4,38,0.19967981516666666
topk_loss_top3,38,0.3150678261666667
mean_experts_for_0.6,38,2.8333333333333335
mean_experts_for_0.9,38,5.5
skip_frac_lt_0.2,38,0.08333333333333333
skip_frac_lt_0.3,38,0.3333333333333333
skip_frac_lt_0.4,38,0.6666666666666666
skip_frac_lt_0.5,38,0.8333333333333334
topk_loss_top4,39,0.2094153908333333
topk_loss_top3,39,0.3433479275
mean_experts_for_0.6,39,3.0833333333333335
mean_experts_for_0.9,39,5.333333333333333
skip_frac_lt_0.2,39,0.08333333333333333
skip_frac_lt_0.3,39,0.5833333333333334
skip_frac_lt_0.4,39,0.9166666666666666
skip_frac_lt_0.5,39,1.0
topk_loss_top4,40,0.2349042934166666
topk_loss_top3,40,0.36548416600000005
mean_experts_for_0.6,40,3.3333333333333335
mean_experts_for_0.9,40,5.666666666666667
skip_frac_lt_0.2,40,0.0
skip_frac_lt_0.3,40,0.5833333333333334
skip_frac_lt_0.4,40,0.9166666666666666
skip_frac_lt_0.5,40,0.9166666666666666
topk_loss_top4,41,0.22560707405000002
topk_loss_top3,41,0.35897700991666665
mean_experts_for_0.6,41,3.0833333333333335
mean_experts_for_0.9,41,5.416666666666667
skip_frac_lt_0.2,41,0.08333333333333333
skip_frac_lt_0.3,41,0.8333333333333334
skip_frac_lt_0.4,41,0.9166666666666666
skip_frac_lt_0.5,41,0.9166666666666666
topk_loss_top4,42,0.20731661825
topk_loss_top3,42,0.33047608833333336
mean_experts_for_0.6,42,3.0833333333333335
mean_experts_for_0.9,42,5.333333333333333
skip_frac_lt_0.2,42,0.08333333333333333
skip_frac_lt_0.3,42,0.5833333333333334
skip_frac_lt_0.4,42,0.9166666666666666
skip_frac_lt_0.5,42,0.9166666666666666
