"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 08:05:24","2","5916.7","1315","1057","4910","60","True","73.3",""
"2026-08-09 08:05:26","24.4","10793.3","1307","1057","4910","60","True","73.3",""
"2026-08-09 08:05:28","26.6","9598.5","1307","1057","4910","60","True","73.3",""
"2026-08-09 08:05:30","28.8","7756.8","1277","1057","4910","60","True","73.3",""
"2026-08-09 08:05:32","30.9","6425.4","1277","1057","4910","60","True","72.8",""
"2026-08-09 08:05:35","33.1","5619.9","1277","1057","4910","59","True","72.8",""
"2026-08-09 08:05:37","35.2","4647.3","1274","1057","4910","58","True","72.8",""
"2026-08-09 08:05:39","37.4","3646.5","1274","1057","4910","58","True","72.8",""
"2026-08-09 08:05:41","39.6","2829.5","1274","1057","4910","58","True","72.8",""
"2026-08-09 08:05:43","41.8","1991","1271","1057","4910","58","True","72.8",""
"2026-08-09 08:05:45","43.9","1368.9","1277","1057","4910","58","True","40.5",""
"2026-08-09 08:05:48","46.1","714.6","1294","1057","4910","58","True","24.3",""
"2026-08-09 08:05:50","48.3","570.5","1298","1057","4910","59","True","10.1",""
"2026-08-09 08:05:52","50.5","816.5","1659","1057","4910","59","True","8.6",""
"2026-08-09 08:05:54","52.7","658.7","2119","1057","4910","58","True","8.3",""
"2026-08-09 08:05:56","54.9","517.1","2149","1057","4910","58","True","8.1",""
"2026-08-09 08:05:59","57.1","496.8","2145","1057","4910","58","True","7.8",""
"2026-08-09 08:06:04","57.3","1135.5","3751","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 496.8 MB)"
