"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 08:17:52","2","6352.1","1372","1057","4910","59","True","73.1",""
"2026-08-09 08:17:54","25.3","10912.1","1363","1057","4910","60","True","73.1",""
"2026-08-09 08:17:56","27.5","9830.3","1362","1057","4910","60","True","73.1",""
"2026-08-09 08:17:59","29.6","8658","1361","1057","4910","60","True","73.1",""
"2026-08-09 08:18:01","31.8","6656.8","1360","1057","4910","59","True","72.7",""
"2026-08-09 08:18:03","34","5579.7","1360","1057","4910","58","True","72.7",""
"2026-08-09 08:18:05","36.1","4442.1","1346","1057","4910","58","True","72.7",""
"2026-08-09 08:18:07","38.4","3687.7","1346","1057","4910","58","True","72.7",""
"2026-08-09 08:18:09","40.5","2952.1","1345","1057","4910","58","True","72.7",""
"2026-08-09 08:18:12","42.7","2081.5","1338","1057","4910","58","True","72.7",""
"2026-08-09 08:18:14","44.9","1273.6","1340","1057","4910","58","True","23.5",""
"2026-08-09 08:18:16","47","460","1371","1057","4910","58","True","10.1",""
"2026-08-09 08:18:18","49.2","868.6","2090","1057","4910","58","True","6.7",""
"2026-08-09 08:18:20","51.4","491.3","2069","1057","4910","58","True","5.8",""
"2026-08-09 08:18:23","53.6","497.5","2070","1057","4910","58","True","5.6",""
"2026-08-09 08:18:25","55.9","1023.6","2806","1057","4910","58","True","5.3",""
"2026-08-09 08:18:27","58","552.9","2803","1057","4910","58","True","5.2",""
"2026-08-09 08:18:29","60.2","982.7","3640","1057","4910","58","True","5.2",""
"2026-08-09 08:18:31","62.4","551.4","3640","1057","4910","58","True","5.6",""
"2026-08-09 08:18:34","64.6","522.1","3483","1057","4910","58","True","5.9",""
"2026-08-09 08:18:36","66.9","9618.5","2116","1057","4910","58","True","5.9",""
"2026-08-09 08:18:38","69.1","12029.1","1863","1029","4938","59","False","0",""
