token_pos,layer,slot,expert_id,gate_weight
0,0,0,129,0.16033551
0,0,1,71,0.1620477
0,0,2,13,0.11227396
0,0,3,179,0.11635368
0,0,4,167,0.34050858
0,0,5,53,0.10848051
1,0,0,30,0.17411168
1,0,1,203,0.14915739
1,0,2,123,0.25052956
1,0,3,77,0.15831654
1,0,4,126,0.14036727
1,0,5,169,0.12751754
2,0,0,221,0.36891302
2,0,1,93,0.22999503
2,0,2,50,0.16817349
2,0,3,255,0.10927402
2,0,4,51,0.050820962
2,0,5,27,0.072823457
3,0,0,198,0.079612277
3,0,1,138,0.14014946
3,0,2,172,0.25462687
3,0,3,116,0.058483098
3,0,4,48,0.31540456
3,0,5,163,0.15172377
4,0,0,160,0.075191118
4,0,1,132,0.065507576
4,0,2,72,0.27812397
4,0,3,1,0.18906057
4,0,4,91,0.22102731
4,0,5,95,0.17108944
0,1,0,124,0.14184034
0,1,1,176,0.17355545
0,1,2,21,0.17555602
0,1,3,136,0.18708284
0,1,4,9,0.15565735
0,1,5,180,0.166308
1,1,0,74,0.21581168
1,1,1,160,0.16235229
1,1,2,173,0.13742213
1,1,3,212,0.18001252
1,1,4,59,0.1664997
1,1,5,6,0.13790171
2,1,0,215,0.16330232
2,1,1,89,0.10764547
2,1,2,107,0.28336859
2,1,3,79,0.14441992
2,1,4,149,0.12854268
2,1,5,8,0.17272103
3,1,0,217,0.17449832
3,1,1,96,0.16617513
3,1,2,223,0.19049972
3,1,3,61,0.15540743
3,1,4,93,0.17354782
3,1,5,159,0.1398716
4,1,0,118,0.27716848
4,1,1,222,0.13797516
4,1,2,135,0.10408682
4,1,3,34,0.14069484
4,1,4,193,0.16140203
4,1,5,14,0.1786727
0,2,0,31,0.15781361
0,2,1,102,0.16838759
0,2,2,39,0.14268574
0,2,3,93,0.2026338
0,2,4,43,0.11956524
0,2,5,184,0.20891397
1,2,0,175,0.17851256
1,2,1,167,0.17027619
1,2,2,201,0.15675302
1,2,3,118,0.15993951
