"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 07:42:54","2","7991.2","1227","1082","4885","58","True","81.5",""
"2026-08-09 07:43:11","6.9","11368.8","1226","1082","4885","59","True","73",""
"2026-08-09 07:43:13","22.8","10423.8","1222","1082","4885","59","True","73",""
"2026-08-09 07:43:15","25","9304.3","1222","1082","4885","59","True","73",""
"2026-08-09 07:43:17","27.2","7947.7","1221","1082","4885","59","True","73",""
"2026-08-09 07:43:20","29.3","6352.4","1221","1082","4885","59","True","73",""
"2026-08-09 07:43:22","31.5","5791.3","1221","1082","4885","59","True","72.5",""
"2026-08-09 07:43:24","33.7","5023.9","1221","1082","4885","57","True","72.5",""
"2026-08-09 07:43:26","35.8","4118.8","1221","1082","4885","58","True","72.5",""
"2026-08-09 07:43:28","38","3516.1","1221","1082","4885","57","True","72.5",""
"2026-08-09 07:43:30","40.2","2969","1221","1082","4885","57","True","72.5",""
"2026-08-09 07:43:33","42.3","2377.2","1223","1082","4885","57","True","72.5",""
"2026-08-09 07:43:35","44.5","1846.8","1223","1082","4885","57","True","72.5",""
"2026-08-09 07:43:37","46.7","1156.3","1223","1082","4885","57","True","55",""
"2026-08-09 07:43:39","48.9","611.5","1254","1082","4885","57","True","46.7",""
"2026-08-09 07:43:41","51","393.7","1259","1082","4885","57","True","17.2",""
"2026-08-09 07:43:43","53.2","436.2","1261","1082","4885","58","True","11.1",""
"2026-08-09 07:43:49","53.4","735.2","2037","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 436.2 MB)"
