"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 07:51:38","2","7489.1","1060","1057","4910","57","True","82.3",""
"2026-08-09 07:51:55","7","6504.4","1060","1057","4910","58","True","73.4",""
"2026-08-09 07:51:57","23.3","10273.1","1060","1057","4910","59","True","73.4",""
"2026-08-09 07:51:59","25.4","9537.2","1060","1057","4910","59","True","73.4",""
"2026-08-09 07:52:01","27.6","8756.5","1060","1057","4910","59","True","73.4",""
"2026-08-09 07:52:03","29.8","8128.8","1060","1057","4910","59","True","73.4",""
"2026-08-09 07:52:05","31.9","7204.2","1059","1057","4910","59","True","72.9",""
"2026-08-09 07:52:08","34.1","6350.5","1059","1057","4910","60","True","72.9",""
"2026-08-09 07:52:10","36.2","5506.7","1059","1057","4910","58","True","72.9",""
"2026-08-09 07:52:12","38.4","4602.6","1059","1057","4910","58","True","72.9",""
"2026-08-09 07:52:14","40.5","4187.7","1059","1057","4910","58","True","72.9",""
"2026-08-09 07:52:16","42.7","3514.3","1059","1057","4910","57","True","72.9",""
"2026-08-09 07:52:18","44.8","2880","1059","1057","4910","58","True","72.9",""
"2026-08-09 07:52:21","47","2001.2","1061","1057","4910","57","True","72.9",""
"2026-08-09 07:52:23","49.2","1335.9","1062","1057","4910","57","True","49.3",""
"2026-08-09 07:52:25","51.3","957.9","1228","1057","4910","57","True","37.9",""
"2026-08-09 07:52:27","53.5","499.1","1379","1057","4910","57","True","23.6",""
"2026-08-09 07:52:29","55.7","380.9","1379","1057","4910","57","True","20",""
"2026-08-09 07:52:31","57.9","394","1376","1057","4910","57","True","10.7",""
"2026-08-09 07:52:37","58","497.7","1359","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 394 MB)"
