"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 08:13:44","2","7658.5","1367","1057","4910","60","True","51.3",""
"2026-08-09 08:13:47","24","10219.4","1376","1057","4910","60","True","51.4",""
"2026-08-09 08:13:49","26.2","9036.2","1357","1057","4910","60","True","51.4",""
"2026-08-09 08:13:51","28.4","7501.5","1316","1057","4910","60","True","51.4",""
"2026-08-09 08:13:53","30.6","5945.9","1308","1057","4910","61","True","51.4",""
"2026-08-09 08:13:55","32.7","5140.2","1278","1057","4910","61","True","51.4",""
"2026-08-09 08:13:57","34.9","4417.2","1277","1057","4910","59","True","51.4",""
"2026-08-09 08:14:00","37","3703.1","1269","1057","4910","59","True","51.4",""
"2026-08-09 08:14:02","39.2","2999.6","1259","1057","4910","59","True","51.4",""
"2026-08-09 08:14:04","41.4","2493.1","1263","1057","4910","58","True","51.4",""
"2026-08-09 08:14:06","43.5","1789.8","1263","1057","4910","58","True","51.5",""
"2026-08-09 08:14:08","45.7","1003.8","1343","1057","4910","58","True","29.8",""
"2026-08-09 08:14:11","47.9","318.8","1346","1057","4910","58","True","13.7",""
"2026-08-09 08:14:13","50.1","1122.5","2166","1057","4910","58","True","9.7",""
"2026-08-09 08:14:15","52.3","691","2275","1057","4910","58","True","9",""
"2026-08-09 08:14:17","54.5","501.3","2269","1057","4910","58","True","8.5",""
"2026-08-09 08:14:19","56.7","856.5","3035","1057","4910","58","True","7.6",""
"2026-08-09 08:14:22","58.9","493.8","3035","1057","4910","58","True","7.4",""
"2026-08-09 08:14:24","61.1","496.1","3679","1057","4910","58","True","7.8",""
"2026-08-09 08:14:26","63.3","3209.1","3646","1057","4910","58","True","6.7",""
"2026-08-09 08:14:28","65.5","11901.9","3535","1057","4910","58","True","6.9",""
"2026-08-09 08:14:30","67.7","11885.2","2917","1029","4938","61","False","0",""
