"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 07:54:33","2","8667.1","1185","1057","4910","58","True","73.4",""
"2026-08-09 07:54:35","23.1","10719.4","1185","1057","4910","58","True","73.4",""
"2026-08-09 07:54:37","25.3","9673.2","1185","1057","4910","59","True","73.4",""
"2026-08-09 07:54:40","27.5","8711.3","1185","1057","4910","59","True","73.4",""
"2026-08-09 07:54:42","29.6","8010","1185","1057","4910","60","True","73.4",""
"2026-08-09 07:54:44","31.8","7179.4","1185","1057","4910","59","True","72.9",""
"2026-08-09 07:54:46","34","6566.4","1185","1057","4910","58","True","72.9",""
"2026-08-09 07:54:48","36.2","5821.6","1185","1057","4910","58","True","72.9",""
"2026-08-09 07:54:51","38.4","5216.5","1185","1057","4910","58","True","72.9",""
"2026-08-09 07:54:53","40.5","4377.9","1185","1057","4910","57","True","72.9",""
"2026-08-09 07:54:55","42.7","3559.4","1185","1057","4910","57","True","72.9",""
"2026-08-09 07:54:57","44.9","2890","1185","1057","4910","57","True","72.9",""
"2026-08-09 07:54:59","47.1","1934","1185","1057","4910","57","True","72.9",""
"2026-08-09 07:55:01","49.3","1059.9","1184","1057","4910","57","True","24.6",""
"2026-08-09 07:55:04","51.5","463.2","1184","1057","4910","58","True","12.3",""
"2026-08-09 07:55:06","53.7","706","1187","1057","4910","57","True","9.2",""
"2026-08-09 07:55:08","55.8","477.7","1201","1057","4910","57","True","8.7",""
"2026-08-09 07:55:10","58","486.2","1201","1057","4910","57","True","8.3",""
"2026-08-09 07:55:12","60.2","311.2","1201","1057","4910","57","True","8.2",""
"2026-08-09 07:55:18","60.3","560.3","1292","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 311.2 MB)"
