"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 08:16:33","2","8591.5","1519","1057","4910","60","True","59.5",""
"2026-08-09 08:16:36","27","10841.1","1491","1057","4910","60","True","59.5",""
"2026-08-09 08:16:38","29.2","9463.9","1491","1057","4910","60","True","59.6",""
"2026-08-09 08:16:40","31.4","7568.3","1491","1057","4910","60","True","59.2",""
"2026-08-09 08:16:42","33.6","6614.6","1491","1057","4910","58","True","59.2",""
"2026-08-09 08:16:44","35.8","5578.2","1491","1057","4910","58","True","59.2",""
"2026-08-09 08:16:46","37.9","4528.8","1491","1057","4910","58","True","59.2",""
"2026-08-09 08:16:49","40.1","3586.1","1468","1057","4910","58","True","59.2",""
"2026-08-09 08:16:51","42.3","2721","1467","1057","4910","58","True","59.2",""
"2026-08-09 08:16:53","44.4","1867.3","1451","1057","4910","58","True","59.3",""
"2026-08-09 08:16:55","46.6","1266.9","1451","1057","4910","58","True","33.4",""
"2026-08-09 08:16:57","48.8","658.2","1426","1057","4910","58","True","20.9",""
"2026-08-09 08:16:59","51","366.8","1440","1057","4910","58","True","11.4",""
"2026-08-09 08:17:02","53.1","371.4","1440","1057","4910","58","True","9",""
"2026-08-09 08:17:07","53.4","859.6","2433","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 371.4 MB)"
