"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 18:30:13","2","9311.5","855","1018","4949","58","True","88.8",""
"2026-08-09 18:30:15","23.5","10556.8","923","1018","4949","59","True","88.8",""
"2026-08-09 18:30:17","25.6","9688.8","912","1018","4949","59","True","88.8",""
"2026-08-09 18:30:19","27.8","8714","912","1018","4949","59","True","88.8",""
"2026-08-09 18:30:21","29.9","7686","912","1018","4949","59","True","88.8",""
"2026-08-09 18:30:24","32.1","6885","912","1018","4949","59","True","88.3",""
"2026-08-09 18:30:26","34.3","5693.1","912","1018","4949","57","True","88.3",""
"2026-08-09 18:30:28","36.4","4013.8","911","1018","4949","59","True","88.3",""
"2026-08-09 18:30:30","38.6","3030.2","910","1018","4949","58","True","88.3",""
"2026-08-09 18:30:32","40.7","2191.3","873","1018","4949","58","True","46.3",""
"2026-08-09 18:30:34","42.9","2038.5","893","1018","4949","59","True","46.3",""
"2026-08-09 18:30:37","45.1","1889.5","892","1018","4949","58","True","46.3",""
"2026-08-09 18:30:39","47.2","1337.8","894","1018","4949","57","True","25.3",""
"2026-08-09 18:30:41","49.4","766.1","894","1018","4949","57","True","14.8",""
"2026-08-09 18:30:43","51.5","529.5","909","1018","4949","57","True","6.7",""
"2026-08-09 18:30:45","53.7","533","909","1018","4949","57","True","1.8",""
"2026-08-09 18:30:47","55.9","546.6","912","1018","4949","57","True","0.4",""
"2026-08-09 18:30:53","56","664.8","914","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 546.6 MB)"
