"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 08:08:52","2","7205.9","1210","1057","4910","59","True","73.5",""
"2026-08-09 08:08:54","24.3","10856","1210","1057","4910","59","True","73.5",""
"2026-08-09 08:08:56","26.5","9692.4","1199","1057","4910","59","True","73.5",""
"2026-08-09 08:08:58","28.6","8139.2","1199","1057","4910","59","True","73.4",""
"2026-08-09 08:09:00","30.8","6282.2","1199","1057","4910","60","True","73",""
"2026-08-09 08:09:02","33","5170.7","1199","1057","4910","58","True","73",""
"2026-08-09 08:09:05","35.1","4386.7","1199","1057","4910","58","True","73",""
"2026-08-09 08:09:07","37.3","3555.6","1199","1057","4910","58","True","73",""
"2026-08-09 08:09:09","39.5","2825.9","1199","1057","4910","58","True","73",""
"2026-08-09 08:09:11","41.7","1971.6","1194","1057","4910","58","True","73",""
"2026-08-09 08:09:13","43.8","1216.8","1196","1057","4910","58","True","40.1",""
"2026-08-09 08:09:15","46","722.5","1197","1057","4910","58","True","40.1",""
"2026-08-09 08:09:18","48.2","435.6","1220","1057","4910","58","True","16.2",""
"2026-08-09 08:09:20","50.4","219.6","1222","1057","4910","58","True","9.2",""
"2026-08-09 08:09:22","52.6","351.8","1221","1057","4910","58","True","8.5",""
"2026-08-09 08:09:28","52.8","1536.3","3166","","","","False","","Free RAM below 700 MB for 3 consecutive samples (last sample: 351.8 MB)"
