"timestamp","elapsed_sec","free_ram_mb","pagefile_mb","gpu_used_mb","gpu_free_mb","gpu_temp_c","proc_alive","proc_ws_mb","killed_reason"
"2026-08-09 08:10:58","2","8313.1","1171","1057","4910","59","True","51.6",""
"2026-08-09 08:11:00","24","10383.7","1179","1057","4910","59","True","51.6",""
"2026-08-09 08:11:02","26.2","9189.2","1182","1057","4910","59","True","51.6",""
"2026-08-09 08:11:04","28.3","7657.1","1182","1057","4910","59","True","51.6",""
"2026-08-09 08:11:07","30.5","6342.2","1182","1057","4910","59","True","51.6",""
"2026-08-09 08:11:09","32.7","5207.7","1182","1057","4910","58","True","51.6",""
"2026-08-09 08:11:11","34.9","4211.9","1183","1057","4910","58","True","51.6",""
"2026-08-09 08:11:13","37","3295","1187","1057","4910","58","True","51.6",""
"2026-08-09 08:11:15","39.2","2294.4","1187","1057","4910","58","True","51.6",""
"2026-08-09 08:11:18","41.4","1485.2","1191","1057","4910","58","True","29.4",""
"2026-08-09 08:11:20","43.5","679.6","1216","1057","4910","58","True","10.8",""
"2026-08-09 08:11:22","45.7","495.1","1217","1057","4910","58","True","8.8",""
"2026-08-09 08:11:24","47.9","720.8","1994","1057","4910","58","True","8.3",""
"2026-08-09 08:11:26","50.1","513.9","1994","1057","4910","58","True","8.2",""
"2026-08-09 08:11:28","52.3","727.8","2265","1057","4910","58","True","7.4",""
"2026-08-09 08:11:31","54.5","709.4","2805","1057","4910","58","True","7.2",""
"2026-08-09 08:11:33","56.6","517.5","2804","1057","4910","58","True","7.1",""
"2026-08-09 08:11:35","58.8","1084.7","3716","1057","4910","58","True","6.1",""
"2026-08-09 08:11:37","61","1560.6","3717","1057","4910","58","True","5.9",""
"2026-08-09 08:11:39","63.2","12201.1","3715","1057","4910","58","True","5.9",""
"2026-08-09 08:11:42","65.3","12073.9","3343","1029","4938","58","False","0",""
